事業者,物件名,都道府県,住所,収容台数,時間帯料金(生),最大料金(生),営業時間,満空,緯度,経度,取得日時,URL
三井のリパーク,三井のリパーク東向島４丁目第２駐車場,東京都,東京都墨田区東向島４丁目２６ー８,12,08:00-20:00 30分220円 ; 20:00-08:00 60分110円,全日 20:00～8:00以内 500円 ; 全日 入庫後24時間以内 1000円,24時間,,35.722787223542,139.81823990558,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027400
三井のリパーク,三井のリパーク江東橋４丁目第１６駐車場,東京都,東京都墨田区江東橋４丁目１４ー６,4,02:00-08:00 15分330円 ; 08:00-02:00 15分330円,全日 入庫後4時間以内 2000円,24時間,,35.694348591393,139.8178412482,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027401
三井のリパーク,三井のリパーク岡山錦町第６駐車場,岡山県,岡山県岡山市北区錦町８ー１１,19,00:00-24:00 30分200円 ; 00:00-24:00 30分200円,月～金 入庫後12時間以内 1300円 ; 土日祝 入庫後12時間以内 1300円,24時間,,34.662983708121,133.92244779027,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027402
三井のリパーク,三井のリパーク東大井３丁目第３駐車場,東京都,東京都品川区東大井３丁目２ー２５,1,08:00-20:00 12分220円 ; 20:00-08:00 12分220円,全日 20:00～8:00以内 500円,24時間,,35.604359588889,139.73736040876,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027403
三井のリパーク,三井のリパーク仙台鉄砲町中第３駐車場,宮城県,宮城県仙台市宮城野区鉄砲町中１,10,07:00-19:00 30分200円 ; 19:00-07:00 60分100円 ; 07:00-19:00 30分200円 ; 19:00-07:00 60分100円,月～金 7:00～19:00以内 1200円 ; 全日 19:00～7:00以内 300円,24時間,,38.263539699772,140.88776464414,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027404
三井のリパーク,三井のリパーク西中島３丁目第８駐車場,大阪府,大阪府大阪市淀川区西中島３丁目３ー４,7,07:00-19:00 20分250円 ; 19:00-07:00 20分250円 ; 07:00-19:00 20分250円 ; 19:00-07:00 20分250円,月～土 7:00～19:00以内 1300円 ; 月～土 19:00～7:00以内 800円 ; 日祝 7:00～19:00以内 1000円 ; 日祝 19:00～7:00以内 800円,24時間,,34.726037877933,135.50146097322,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027406
三井のリパーク,三井のリパーク南堀江４丁目第７駐車場,大阪府,大阪府大阪市西区南堀江４丁目１５ー１８,3,08:00-20:00 15分220円 ; 20:00-08:00 120分110円,全日 入庫後4時間以内 1000円,24時間,,34.672632200555,135.48550642439,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027407
三井のリパーク,三井のリパーク足立中央本町２丁目第３駐車場,東京都,東京都足立区中央本町２丁目１６ー１５,8,08:00-18:00 60分220円 ; 18:00-08:00 60分220円,全日 18:00～8:00以内 400円 ; 全日 入庫後24時間以内 800円,24時間,,35.77012644974,139.80940234772,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027408
三井のリパーク,三井のリパーク広島大手町１丁目第１１駐車場,広島県,広島県広島市中区大手町１丁目３ー４,17,08:00-20:00 15分200円 ; 20:00-08:00 60分100円,全日 入庫後4時間以内 1900円,24時間,,34.395111722528,132.45471535176,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027409
三井のリパーク,三井のリパーク玉造駅前第７駐車場,大阪府,大阪府大阪市東成区中道３丁目１５ー２６,10,00:00-24:00 25分200円,全日 入庫後24時間以内 950円,24時間,,34.674577289791,135.53429950461,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027410
